"issue_name","issue_count","issue_percentage","severity","interpretation","recommended_action"
"order_level_rows",99441,100,"Information","Processed order-level dataset row count.","Use as baseline for order-level percentages."
"seller_order_rows",100010,100,"Information","Processed seller-order dataset row count.","Use as baseline for seller-order checks."
"duplicate_order_id_processed",0,0,"Information","Duplicate order_id values in processed order-level table.","No action required."
"duplicate_seller_order_processed",0,0,"Information","Duplicate seller_id + order_id combinations in processed seller-order table.","No action required."
"missing_customer_relationship",0,0,"Information","Orders whose customer_id is absent from the customers table.","Investigate orphaned customer references before customer-level analysis."
"missing_seller_relationship",0,0,"Information","Order-item records whose seller_id is absent from the sellers table.","Investigate orphaned seller references before seller-level analysis."
"negative_item_prices",0,0,"Information","Negative item prices in raw order items.","Exclude or correct negative prices before monetary analysis."
"negative_freight_values",0,0,"Information","Negative freight values in raw order items.","Exclude or correct negative freight values before shipping analysis."
"negative_payment_values",0,0,"Information","Negative payment values in raw payments.","Review payment records before revenue analysis."
"zero_payment_values",4,0.004,"Warning","Orders with zero total payment value.","Review voucher, unpaid, or not-yet-paid orders separately from paid-order analysis."
"missing_purchase_dates",0,0,"Warning","Orders missing purchase dates.","Exclude from time-series analysis until purchase timestamps are validated."
"missing_estimated_delivery_dates",0,0,"Warning","Orders missing estimated delivery dates.","Exclude from lateness modeling when estimated delivery is unavailable."
"missing_actual_delivery_dates",2965,2.9817,"Information","Orders missing actual delivery dates, including canceled and in-transit orders.","Expected for non-delivered orders; investigate only when status indicates delivery."
"actual_delivery_before_purchase",0,0,"High","Actual delivery timestamp occurs before purchase timestamp.","Exclude or correct these records before delivery-duration analysis."
"estimated_delivery_before_purchase",0,0,"High","Estimated delivery date occurs before purchase timestamp.","Review date parsing and exclude invalid records from lateness analysis."
"approval_before_purchase",0,0,"High","Approval timestamp occurs before purchase timestamp.","Review timestamp quality before approval-to-delivery analysis."
"delivered_without_actual_delivery_date",8,0.008,"High","Delivered orders lacking an actual delivery date.","Treat as undelivered in delivery-time metrics until delivery timestamps are resolved."
"canceled_or_unavailable_with_actual_delivery_date",6,0.006,"Warning","Canceled or unavailable orders that still have an actual delivery date.","Review status logic before fulfillment performance reporting."
"orders_without_item_records",775,0.7794,"Warning","Processed orders without corresponding item records.","Investigate item aggregation and order-item joins."
"orders_without_payment_records",1,0.001,"Warning","Processed orders without corresponding payment records.","Investigate payment aggregation and unpaid-order handling."
"payment_difference_exceeds_tolerance",1033,1.0388,"Information","Orders where total_payment_value differs from total_item_price + total_freight_value by more than R$ 0.05.","Review separately; vouchers, discounts, interest, and split payments may explain differences and are not automatically errors."
"extreme_payment_values_iqr",7866,7.9105,"Information","Payment values above the IQR upper fence (R$ 349.41).","Monitor high-value orders; do not delete without business review."
"extreme_freight_values_iqr",9919,10.0877,"Information","Freight values above the IQR upper fence (R$ 39.39).","Review shipping cost outliers for data entry or long-distance shipments."
"extreme_delivery_durations_iqr",4896,5.0752,"Information","Delivery durations above the IQR upper fence (29.15 days).","Use robust summaries or caps when reporting typical delivery times."
"missing_or_invalid_seller_count",775,0.7794,"Warning","Orders with missing or invalid seller_count.","Exclude from single- versus multi-seller comparisons until seller_count is validated."
"multi_seller_orders",1278,1.2852,"Information","Orders fulfilled by more than one seller.","Interpret seller-level delivery metrics carefully because delivery outcomes are shared at order level."
"missing_months_in_time_series",1,4.3478,"Warning","Missing purchase months in completed-order time series: 2016-11","Exclude or annotate missing months before trend comparisons."
